MoCoolMaid (Website + CRUD)
Earthquake API (Website)
UTM App (Hybrid Mobile Application) Group Work
Intelligent Shopping Agent (Website + Search Engine + Voice Recognition) Group Work
Student Information System (Website + CRUD) Group Work
